model = BaggingRegressor(n_estimators=q)
q c a smape
13 6 8 0.318939496434
13 6 9 0.317694810701
13 7 1 0.339371175416
13 7 2 0.324139796373
13 7 3 0.325043127029
13 7 4 0.330423387261
13 7 5 0.317824954845
13 7 6 0.316029974759
13 7 7 0.317262955358
13 7 8 0.319144666211
13 7 9 0.315573831218
13 8 1 0.354556809642
13 8 2 0.343286960888
13 8 3 0.347731804786
13 8 4 0.341795028368
13 8 5 0.323826037643
13 8 6 0.313430580569
13 8 7 0.335897408417
13 8 8 0.319481133268
13 8 9 0.328279438016
13 9 1 0.341445150269
13 9 2 0.328496904561
13 9 3 0.333608361877
13 9 4 0.319533398301
13 9 5 0.321937540218
13 9 6 0.322463035703
13 9 7 0.314678701205
13 9 8 0.312874521093
13 9 9 0.315800071182
14 1 1 0.442586926799
14 1 2 0.488179424434
14 1 3 0.461700408491
14 1 4 0.511758871665
14 1 5 0.500935111535
14 1 6 0.472428488158
14 1 7 0.518747985531
14 1 8 0.534932385882
14 1 9 0.517086300786
14 2 1 0.437300821201
14 2 2 0.395276158541
14 2 3 0.439454338025
14 2 4 0.488503646332
14 2 5 0.434139544002
14 2 6 0.469769128207
14 2 7 0.452660149036
14 2 8 0.417681813299
14 2 9 0.450212462636
14 3 1 0.380464898777
14 3 2 0.444307426053
14 3 3 0.412647404762
14 3 4 0.394486299487
14 3 5 0.385293163526
14 3 6 0.398071127812
14 3 7 0.403965529951
14 3 8 0.42680742991
14 3 9 0.394364814679
14 4 1 0.384083616479
14 4 2 0.382261846186
14 4 3 0.383645703899
14 4 4 0.392673624306
14 4 5 0.362479336938
14 4 6 0.396026564311
14 4 7 0.388241255657
14 4 8 0.375589466017
14 4 9 0.364817610186
14 5 1 0.369622203218
14 5 2 0.345127291809
14 5 3 0.34812269484
14 5 4 0.348513658645
14 5 5 0.347629718199
14 5 6 0.336986278522
14 5 7 0.3419492826
14 5 8 0.340095046171
14 5 9 0.337634699378
14 6 1 0.354313487929
14 6 2 0.331543424977
14 6 3 0.327865166385
14 6 4 0.321662629919
14 6 5 0.328216816618
14 6 6 0.321514550873
14 6 7 0.320450395725
14 6 8 0.319576098195
14 6 9 0.321243713749
14 7 1 0.34064966271
14 7 2 0.326581067354
14 7 3 0.323655232002
14 7 4 0.321409579507
14 7 5 0.318664355839
14 7 6 0.326255208752
14 7 7 0.321163119497
14 7 8 0.31984710969
14 7 9 0.319758936767
14 8 1 0.330351759388
14 8 2 0.348383906749
14 8 3 0.336731531747
14 8 4 0.318876908841
14 8 5 0.320786397956
14 8 6 0.320185428003
14 8 7 0.325817940642
14 8 8 0.317448718123
14 8 9 0.31941255333
14 9 1 0.345345335306
14 9 2 0.336126972654
14 9 3 0.336418486259
14 9 4 0.315678810782
14 9 5 0.325321984872
14 9 6 0.312481909691
14 9 7 0.325905522369
14 9 8 0.325634752511
14 9 9 0.315218870989
15 1 1 0.470369396017
15 1 2 0.442545804682
15 1 3 0.4505226196
15 1 4 0.481938789188
15 1 5 0.545166869045
15 1 6 0.501555836163
15 1 7 0.525719244169
15 1 8 0.5436706752
15 1 9 0.508112196361
15 2 1 0.406455433698
15 2 2 0.412945812901
15 2 3 0.406925793884
15 2 4 0.433305311368
15 2 5 0.427036013006
15 2 6 0.432966030776
15 2 7 0.41848773924
15 2 8 0.43569228416
15 2 9 0.433905816636
15 3 1 0.383143141386
15 3 2 0.403396881001
15 3 3 0.378917413132
15 3 4 0.40562473065
15 3 5 0.423388442366
15 3 6 0.399105677791
15 3 7 0.400673885356
15 3 8 0.422545789138
15 3 9 0.417692993809
15 4 1 0.366827447585
15 4 2 0.371907782601
15 4 3 0.381024746908
15 4 4 0.365578607031
15 4 5 0.379034627668
15 4 6 0.395189230492
15 4 7 0.359766072505
15 4 8 0.36541910466
15 4 9 0.369827417128
15 5 1 0.374038840112
15 5 2 0.344302883551
15 5 3 0.341776831885
15 5 4 0.337922688883
15 5 5 0.343814405459
15 5 6 0.343780603733
15 5 7 0.348066452332
15 5 8 0.341707495288
15 5 9 0.335195839638
15 6 1 0.350821084809
15 6 2 0.32481650077
15 6 3 0.337169435703
15 6 4 0.323592682177
15 6 5 0.324816490078
15 6 6 0.320081149791
15 6 7 0.321315887969
15 6 8 0.320935006652
15 6 9 0.322215831959
15 7 1 0.338957690377
15 7 2 0.325071086915
15 7 3 0.32486086209
15 7 4 0.318303847599
15 7 5 0.320050959332
15 7 6 0.319089650132
15 7 7 0.321119866081
15 7 8 0.316675390962
15 7 9 0.316877954351
15 8 1 0.354559888745
15 8 2 0.319587163892
15 8 3 0.328333055113
15 8 4 0.335687969824
15 8 5 0.314023039837
15 8 6 0.318127304145
15 8 7 0.320420651924
15 8 8 0.313769641869
15 8 9 0.317722120959
15 9 1 0.346019040481
15 9 2 0.332979808549
15 9 3 0.319843289138
15 9 4 0.319247295181
15 9 5 0.312343803019
15 9 6 0.318780916232
15 9 7 0.316311004151
15 9 8 0.314520463862
15 9 9 0.313723334219
16 1 1 0.526783644065
16 1 2 0.460629281491
16 1 3 0.508363196264
16 1 4 0.516692093682
16 1 5 0.469395430577
16 1 6 0.522893810052
16 1 7 0.540615688496
16 1 8 0.544876046636
16 1 9 0.541931938959
16 2 1 0.462123808366
16 2 2 0.420370561699
16 2 3 0.400851986166
16 2 4 0.448759029381
16 2 5 0.424475265733
16 2 6 0.435291801299
16 2 7 0.41785555034
16 2 8 0.41959244126
16 2 9 0.441297074386
16 3 1 0.379553053706
16 3 2 0.378822981969
16 3 3 0.422270501848
16 3 4 0.404376458563
16 3 5 0.407679068936
16 3 6 0.42195844718
16 3 7 0.38686937465
16 3 8 0.40250083085
16 3 9 0.410122820003
16 4 1 0.359933629819
16 4 2 0.364765992016
16 4 3 0.362099862689
16 4 4 0.400286834132
16 4 5 0.365866588937
16 4 6 0.377653082443
16 4 7 0.394872950967
16 4 8 0.368378026953
16 4 9 0.377192735645
16 5 1 0.354059621588
16 5 2 0.380730519221
16 5 3 0.336566352919
16 5 4 0.346161121986
16 5 5 0.350435796754
16 5 6 0.338027691399
16 5 7 0.332829517266
16 5 8 0.344717696932
16 5 9 0.340328178032
16 6 1 0.339896958181
16 6 2 0.335747055963
16 6 3 0.326751013868
16 6 4 0.326306447334
16 6 5 0.318340211506
16 6 6 0.321470892675
16 6 7 0.319443812534
16 6 8 0.319532941494
16 6 9 0.317367800057
16 7 1 0.328591030244
16 7 2 0.327709825918
16 7 3 0.327713858968
16 7 4 0.318741258808
16 7 5 0.320658463413
16 7 6 0.318001880755
16 7 7 0.315830956836
16 7 8 0.320201817543
16 7 9 0.315807825273
16 8 1 0.332292728043
16 8 2 0.326276111298
16 8 3 0.333792707752
16 8 4 0.32016542565
16 8 5 0.324645044494
16 8 6 0.316524773719
16 8 7 0.319495980537
16 8 8 0.316782513804
16 8 9 0.318427055208
16 9 1 0.343496807208
16 9 2 0.330967210744
16 9 3 0.335939019419
16 9 4 0.317579284695
16 9 5 0.318161680296
16 9 6 0.314238926347
16 9 7 0.322214804563
16 9 8 0.320790650697
16 9 9 0.310991631701
17 1 1 0.409529691149
17 1 2 0.469827202275
17 1 3 0.473881558493
17 1 4 0.499628301219
17 1 5 0.48693823193
17 1 6 0.494788803782
17 1 7 0.504538030664
17 1 8 0.503362341342
17 1 9 0.542625814075
17 2 1 0.392453520762
17 2 2 0.417661122326
17 2 3 0.445984950321
17 2 4 0.419792132663
17 2 5 0.416220226884
17 2 6 0.421596549269
17 2 7 0.417409552532
17 2 8 0.435427496981
17 2 9 0.447535274448
17 3 1 0.419880547354
17 3 2 0.377269790177
17 3 3 0.409287739312
17 3 4 0.392135024456
17 3 5 0.430471883056
17 3 6 0.3823016579
17 3 7 0.390722784031
17 3 8 0.388989815229
17 3 9 0.395567183693
17 4 1 0.395381003582
17 4 2 0.390047454623
17 4 3 0.382243218754
17 4 4 0.396496939567
17 4 5 0.36358079466
17 4 6 0.392347933871
17 4 7 0.381741158933
17 4 8 0.362235509606
17 4 9 0.36731731099
17 5 1 0.349879055625
17 5 2 0.341749114844
17 5 3 0.338714444408
17 5 4 0.336741342242
17 5 5 0.347414805764
17 5 6 0.349505561529
17 5 7 0.334108055133
17 5 8 0.344352472861
17 5 9 0.336974447266
17 6 1 0.348552185339
17 6 2 0.325124961899
17 6 3 0.320076918892
17 6 4 0.330307802269
17 6 5 0.322582149223
17 6 6 0.322688073515
17 6 7 0.318164596812
17 6 8 0.320008553586
17 6 9 0.315581517195
17 7 1 0.333610458285
17 7 2 0.32477552916
17 7 3 0.325173642485
17 7 4 0.324971725614
17 7 5 0.317093367944
17 7 6 0.317442578071
17 7 7 0.318861308447
17 7 8 0.317531408543
17 7 9 0.314110447153
17 8 1 0.338821168632
17 8 2 0.342663238791
17 8 3 0.336714172302
17 8 4 0.320308441223
17 8 5 0.329900326639
17 8 6 0.319982235511
17 8 7 0.315776133068
17 8 8 0.318670749586
17 8 9 0.328801834386
17 9 1 0.328730948809
17 9 2 0.335879814534
17 9 3 0.332759228141
17 9 4 0.331002658613
17 9 5 0.321097577822
17 9 6 0.310218859826
17 9 7 0.314280124173
17 9 8 0.315426819828
17 9 9 0.312860838027
18 1 1 0.451311724485
18 1 2 0.501080166901
18 1 3 0.452878819075
18 1 4 0.577167031102
18 1 5 0.497943059
18 1 6 0.48265352465
18 1 7 0.503078186456
18 1 8 0.513652710278
18 1 9 0.514151504617
18 2 1 0.469021928324
18 2 2 0.426573153365
18 2 3 0.437837167193
18 2 4 0.417690530424
18 2 5 0.412405917336
18 2 6 0.42346940632
18 2 7 0.416433855771
18 2 8 0.426323151818
18 2 9 0.45149967271
18 3 1 0.516858748785
18 3 2 0.41811666963
18 3 3 0.410914540131
18 3 4 0.387525629212
18 3 5 0.41688477308
18 3 6 0.384408337456
18 3 7 0.416755216257
18 3 8 0.408632498709
18 3 9 0.419840078454
18 4 1 0.367091341243
18 4 2 0.364745030974
18 4 3 0.392387093823
18 4 4 0.379669940577
18 4 5 0.375057477474
18 4 6 0.373811682157
18 4 7 0.361837993977
18 4 8 0.365749534517
18 4 9 0.364873565362
18 5 1 0.34956498503
18 5 2 0.338633276169
18 5 3 0.34865233411
18 5 4 0.337342911856
18 5 5 0.334389670526
18 5 6 0.341546966817
18 5 7 0.343362484273
18 5 8 0.3387943739
18 5 9 0.338479138401
18 6 1 0.330044391334
18 6 2 0.34158555499
18 6 3 0.325678723621
18 6 4 0.322728675684
18 6 5 0.321380675361
18 6 6 0.323585556641
18 6 7 0.321178822389
18 6 8 0.321254193645
18 6 9 0.31639285282
18 7 1 0.332326348533
18 7 2 0.323283539699
18 7 3 0.323305224935
18 7 4 0.320201310332
18 7 5 0.315750035626
18 7 6 0.315538959282
18 7 7 0.315778381278
18 7 8 0.318135579942
18 7 9 0.313972619355
18 8 1 0.335965671855
18 8 2 0.335065676797
18 8 3 0.332959244292
18 8 4 0.332359899499
18 8 5 0.316422606379
18 8 6 0.328830363668
18 8 7 0.324238204808
18 8 8 0.317974528361
18 8 9 0.325406999643
18 9 1 0.327009516433
18 9 2 0.32983000972
18 9 3 0.331757878714
18 9 4 0.317204838118
18 9 5 0.308699860161
18 9 6 0.328068739505
18 9 7 0.326154944585
18 9 8 0.313263575044
18 9 9 0.311357605943
19 1 1 0.40612024471
19 1 2 0.451416548407
19 1 3 0.466478946783
19 1 4 0.50835109567
19 1 5 0.567488618725
19 1 6 0.561888012133
19 1 7 0.559629333437
19 1 8 0.549668559285
19 1 9 0.51160050135
19 2 1 0.416540488641
19 2 2 0.430789552451
19 2 3 0.400364666473
19 2 4 0.401266108418
19 2 5 0.421385293088
19 2 6 0.412302857409
19 2 7 0.469918818247
19 2 8 0.413677823642
19 2 9 0.422941645823
19 3 1 0.38463296345
19 3 2 0.413796395882
19 3 3 0.376066045827
19 3 4 0.407535903879
19 3 5 0.392236993068
19 3 6 0.398076514262
19 3 7 0.403890603933
19 3 8 0.407234531726
19 3 9 0.384041436853
19 4 1 0.437273594216
19 4 2 0.414121194673
19 4 3 0.384752526095
19 4 4 0.390827788554
19 4 5 0.366667456836
19 4 6 0.361941290683
19 4 7 0.358045873375
19 4 8 0.372360669103
